Gene	data1	random_number
group_4740	gene	226
group_4741	gene	227
argR_1	gene	228
group_4746	gene	229
recF	gene	230
hslO	gene	231
group_4759	gene	232
divIVA	gene	233
dtd	gene	234
group_4764	gene	235
csbB	gene	236
yecD	gene	237
apt	gene	238
ettA_1	gene	239
fieF	gene	240
def_1	gene	241
cysB	gene	242
tmk	gene	243
frr	gene	244
group_4788	gene	245
infC	gene	246
group_4794	gene	247
group_4798	gene	248
ptsI	gene	249
nrdE1	gene	250
lacD	gene	251
ilvC	gene	252
gatC_1	gene	253
fabZ	gene	254
group_4813	gene	255
group_4815	gene	256
srlR_2	gene	257
rlmL	gene	258
group_4829	gene	259
ulaG	gene	260
adh_2	gene	261
ftsK	gene	262
lacR_2	gene	263
msrC	gene	264
group_4853	gene	265
group_4865	gene	266
group_4866	gene	267
group_4870	gene	268
ribBA	gene	269
clpX	gene	270
group_4968	gene	271
group_4996	gene	272
ycjP_1	gene	273
group_5070	gene	274
rsmH_2	gene	275
group_5130	gene	276
group_5132	gene	277
phoU_1	gene	278
group_5134	gene	279
pstA2_1	gene	280
suhB	gene	281
pncB2	gene	282
guaA	gene	283
yxeN	gene	284
mgsR	gene	285
pdxT	gene	286
group_5149	gene	287
ycjO	gene	288
acpS	gene	289
skfE	gene	290
gmuE	gene	291
degA	gene	292
yhbY	gene	293
der_1	gene	294
group_5182	gene	295
group_5183	gene	296
ccpA_1	gene	297
fepD_1	gene	298
rluB	gene	299
group_5189	gene	300
amiA	gene	301
group_5193	gene	302
tsaE	gene	303
murA1_1	gene	304
group_5200	gene	305
polC_1	gene	306
group_5212	gene	307
cdsA	gene	308
rpmC	gene	309
group_5216	gene	310
group_5218	gene	311
metQ	gene	312
tsaD	gene	313
manZ_3	gene	314
purH	gene	315
recO	gene	316
mglA	gene	317
coaA	gene	318
yraA	gene	319
rodA	gene	320
metG	gene	321
bioY2	gene	322
rimM	gene	323
yxdL	gene	324
moeZ	gene	325
gltC	gene	326
hflX	gene	327
group_5247	gene	328
rplA	gene	329
regX3	gene	330
group_5252	gene	331
pheS	gene	332
rpmE2	gene	333
nrnA	gene	334
pdg	gene	335
group_5260	gene	336
tarI	gene	337
topA	gene	338
artM	gene	339
yycJ	gene	340
gyrA	gene	341
group_5268	gene	342
xseA	gene	343
pphA	gene	344
hpt	gene	345
trpS2	gene	346
pgsA	gene	347
ecfA2	gene	348
ftsA	gene	349
sepF	gene	350
plsC	gene	351
group_5285	gene	352
cmk	gene	353
cobQ	gene	354
metA	gene	355
tpiA	gene	356
group_5296	gene	357
yghU	gene	358
group_5298	gene	359
group_5300	gene	360
malP	gene	361
tyrS	gene	362
yicL_2	gene	363
ykuR	gene	364
pstB3_3	gene	365
pstC1	gene	366
aguA	gene	367
group_5320	gene	368
ybeY	gene	369
era	gene	370
pspB	gene	371
glmU	gene	372
lacR_3	gene	373
lacA	gene	374
ilvB	gene	375
accA	gene	376
fabD	gene	377
marR	gene	378
group_5336	gene	379
dltC	gene	380
gnd	gene	381
adhE	gene	382
yfkJ	gene	383
misCA	gene	384
rnpA	gene	385
ackA	gene	386
group_5350	gene	387
yeeO	gene	388
group_5366	gene	389
group_5369	gene	390
gapN	gene	391
cpoA	gene	392
murA1_2	gene	393
ydaF_5	gene	394
rex	gene	395
group_5538	gene	396
cshA	gene	397
cca	gene	398
araD	gene	399
gdpP	gene	400
yjjP	gene	401
murJ	gene	402
group_8202	gene	403
rpmB	gene	404
rplR	gene	405
infA	gene	406
rpmA	gene	407
rpsS	gene	408
rpsQ	gene	409
efp	gene	410
rpsO	gene	411
rpmJ	gene	412
rplS	gene	413
rpoZ	gene	414
accC	gene	415
oppC	gene	416
yfiC	gene	417
thiY	gene	418
adcR	gene	419
fabM	gene	420
saeS	gene	421
psaA	gene	422
rpsC	gene	423
rpsG	gene	424
araQ_1	gene	425
deoB	gene	426
ppaC	gene	427
walK_1	gene	428
fecE	gene	429
ribF	gene	430
asnS	gene	431
pyrE	gene	432
rpsJ	gene	433
pyrR	gene	434
malQ	gene	435
hprK	gene	436
engB	gene	437
sufB_2	gene	438
htrA	gene	439
thrB_1	gene	440
group_8249	gene	441
dapH	gene	442
group_8251	gene	443
nrdR	gene	444
rplQ	gene	445
fus	gene	446
rpsM	gene	447
scpA	gene	448
prfC	gene	449
rplO	gene	450
rplE	gene	451
malF	gene	452
group_8263	gene	453
ykuL	gene	454
group_8265	gene	455
ecfT_2	gene	456
eno	gene	457
rpoA	gene	458
dapE	gene	459
mrp	gene	460
ribD_2	gene	461
sufB_1	gene	462
group_8273	gene	463
prsA	gene	464
group_8275	gene	465
purB	gene	466
relA	gene	467
queA	gene	468
arcB	gene	469
accD	gene	470
tgt	gene	471
phoR	gene	472
dsbD_1	gene	473
group_8284	gene	474
spxA_2	gene	475
purR	gene	476
yknY_2	gene	477
fabH	gene	478
tcyN	gene	479
pyrDB	gene	480
ethR	gene	481
typA	gene	482
rplN	gene	483
prs	gene	484
nrdF	gene	485
livH_1	gene	486
rpsE	gene	487
recA	gene	488
arlR_2	gene	489
brpA	gene	490
znuB	gene	491
rpsD	gene	492
yknY_3	gene	493
cugP	gene	494
dacA	gene	495
codY	gene	496
yabJ	gene	497
group_8341	gene	498
pepA_2	gene	499
rplJ	gene	500
group_8344	gene	501
group_8345	gene	502
yrrK	gene	503
fhuC	gene	504
group_8348	gene	505
glyQ	gene	506
secY	gene	507
sigA	gene	508
rplD	gene	509
pstC	gene	510
metK	gene	511
rlmH	gene	512
gpmA_2	gene	513
hemN	gene	514
rplB	gene	515
udk_2	gene	516
prs2	gene	517
clpP	gene	518
rplT	gene	519
znuC	gene	520
ftsW	gene	521
glmM	gene	522
thrS	gene	523
group_8380	gene	524
group_8381	gene	525
group_8382	gene	526
manZ_2	gene	527
ybiT_2	gene	528
ezrA	gene	529
dnaA	gene	530
rplC	gene	531
pstB3_2	gene	532
trmD	gene	533
rplX	gene	534
spsB	gene	535
murI	gene	536
rplV	gene	537
pyrDA	gene	538
rpsK	gene	539
stkP	gene	540
cutC	gene	541
ydjZ	gene	542
group_8399	gene	543
aroD	gene	544
ftsZ	gene	545
livF	gene	546
fba	gene	547
rpsH	gene	548
mntB	gene	549
fabF	gene	550
ilvA	gene	551
fabG	gene	552
pta	gene	553
nrdD_2	gene	554
rplP	gene	555
sugC	gene	556
purM	gene	557
sodA	gene	558
saeR	gene	559
group_8422	gene	560
group_8423	gene	561
uppS	gene	562
mtcA1	gene	563
potB	gene	564
sdhA	gene	565
group_8428	gene	566
tyrA	gene	567
ptsH	gene	568
phoP	gene	569
lptB	gene	570
polA	gene	571
ligA	gene	572
sorA	gene	573
nudF	gene	574
proS	gene	575
secG	gene	576
amyS	gene	577
cinA	gene	578
nrdH	gene	579
priA	gene	580
rpsT	gene	581
group_8444	gene	582
group_8445	gene	583
def_2	gene	584
rpsF	gene	585
rpsB	gene	586
ulaC	gene	587
yigZ	gene	588
rnz	gene	589
malG	gene	590
group_8454	gene	591
group_8455	gene	592
pyrH	gene	593
rpsN2	gene	594
arlR_1	gene	595
ssb_1	gene	596
gmk	gene	597
rpsR	gene	598
rplM	gene	599
smpB	gene	600
ftsX	gene	601
dnaN	gene	602
pstS2	gene	603
rpsP	gene	604
yknZ	gene	605
group_8469	gene	606
group_8470	gene	607
xseB	gene	608
aroF	gene	609
sufS	gene	610
scpB	gene	611
hom	gene	612
group_8476	gene	613
group_8477	gene	614
tkt_2	gene	615
mglC	gene	616
nagA	gene	617
group_8481	gene	618
group_8482	gene	619
ilvH	gene	620
pbpF_1	gene	621
group_8485	gene	622
tarJ	gene	623
aroG	gene	624
corC	gene	625
hpf	gene	626
hssS	gene	627
group_8495	gene	628
phoB	gene	629
ribE	gene	630
lnpD_2	gene	631
group_8499	gene	632
rplW	gene	633
group_8501	gene	634
ftsE	gene	635
trpD	gene	636
pflA	gene	637
trpB	gene	638
acpA	gene	639
pyrK	gene	640
group_8508	gene	641
tmpC	gene	642
arlS	gene	643
metI	gene	644
dus	gene	645
secA	gene	646
tqsA	gene	647
purL	gene	648
rplF	gene	649
accB	gene	650
ply_1	gene	651
obg	gene	652
rpsL	gene	653
adk	gene	654
rplL	gene	655
dnaX_2	gene	656
group_8524	gene	657
yugI	gene	658
glpE	gene	659
polC_2	gene	660
rluD_1	gene	661
slyA_2	gene	662
cls	gene	663
pabA	gene	664
group_8534	gene	665
rsfS	gene	666
yclQ	gene	667
epsJ	gene	668
copY	gene	669
group_8541	gene	670
folE	gene	671
sdhB	gene	672
thiD	gene	673
purN	gene	674
fmt	gene	675
phoU_3	gene	676
group_8548	gene	677
group_8549	gene	678
thiI	gene	679
thiE_2	gene	680
ytrA	gene	681
yteP_2	gene	682
group_8554	gene	683
rdgB	gene	684
neuA	gene	685
nadD	gene	686
tlyA	gene	687
serS	gene	688
dapB	gene	689
gloA	gene	690
glyS	gene	691
mtnN	gene	692
lgt	gene	693
rpmI	gene	694
lspA	gene	695
group_8567	gene	696
msrAB_2	gene	697
mecA	gene	698
rnc	gene	699
iscS_2	gene	700
group_8572	gene	701
trxA	gene	702
group_8575	gene	703
lysA	gene	704
guaC	gene	705
ybhL	gene	706
walR	gene	707
thyA	gene	708
rpmD	gene	709
sulA	gene	710
penA	gene	711
group_1412	gene	712
group_1443	gene	713
atpA_1	gene	714
group_1836	gene	715
group_1838	gene	716
group_1895	gene	717
group_1924	gene	718
group_2031	gene	719
mtaD	gene	720
group_2196	gene	721
dnaE	gene	722
group_2347	gene	723
group_2414	gene	724
group_2425	gene	725
ileS	gene	726
pheT_1	gene	727
recU	gene	728
group_2551	gene	729
group_2564	gene	730
leuS	gene	731
group_2613	gene	732
group_2645	gene	733
bcrC_1	gene	734
smc	gene	735
lacG_2	gene	736
group_2801	gene	737
lytA_1	gene	738
ykoD_1	gene	739
group_2918	gene	740
manA	gene	741
niaX	gene	742
group_3017	gene	743
clpC_2	gene	744
licR	gene	745
ecfT_1	gene	746
deoC	gene	747
group_3312	gene	748
bacC	gene	749
group_3318	gene	750
bglH	gene	751
ddl	gene	752
rsmI	gene	753
lacC_2	gene	754
sarA_3	gene	755
rpsA_1	gene	756
group_3476	gene	757
pheA	gene	758
group_3503	gene	759
group_3520	gene	760
group_3585	gene	761
manX_3	gene	762
thiE_1	gene	763
axe1-6A_1	gene	764
rexB	gene	765
group_3674	gene	766
glyA	gene	767
msrR	gene	768
group_3831	gene	769
punA	gene	770
tcyJ	gene	771
group_3956	gene	772
group_3960	gene	773
group_3961	gene	774
cdaA	gene	775
chrR	gene	776
proC	gene	777
yfnB	gene	778
group_4024	gene	779
tdk	gene	780
asd	gene	781
group_4040	gene	782
truC	gene	783
galK_1	gene	784
infB	gene	785
aroC	gene	786
pgl	gene	787
bceA	gene	788
pflB	gene	789
dnaJ	gene	790
rpe	gene	791
licC_1	gene	792
group_4277	gene	793
gor	gene	794
tenA_2	gene	795
carB	gene	796
dtxR	gene	797
group_4369	gene	798
group_4372	gene	799
coaE	gene	800
lplJ	gene	801
nusB	gene	802
thrB_2	gene	803
sarA_1	gene	804
resA	gene	805
group_4507	gene	806
ydaF_4	gene	807
iolW	gene	808
rimP	gene	809
rplGA	gene	810
rbfA	gene	811
group_4644	gene	812
pnuC	gene	813
group_4659	gene	814
ndk	gene	815
rpoC	gene	816
group_4670	gene	817
gph_2	gene	818
group_4701	gene	819
natA_2	gene	820
group_4718	gene	821
miaA	gene	822
group_4735	gene	823
tilS	gene	824
pepQ	gene	825
group_4775	gene	826
group_4779	gene	827
gltX	gene	828
group_4835	gene	829
group_4847	gene	830
pcp_1	gene	831
map	gene	832
purA	gene	833
dut	gene	834
gpmA_3	gene	835
sorC_1	gene	836
recN	gene	837
mltG	gene	838
aroA	gene	839
group_5138	gene	840
group_5139	gene	841
pdxS	gene	842
tuf	gene	843
gla	gene	844
pgcA	gene	845
glnQ_4	gene	846
atpA	gene	847
atpH	gene	848
atpF	gene	849
group_5157	gene	850
rpoE	gene	851
pyrG	gene	852
group_5166	gene	853
glnA	gene	854
group_5171	gene	855
alr	gene	856
group_5191	gene	857
acyP	gene	858
nrdD_1	gene	859
spxA_1	gene	860
mro	gene	861
artQ	gene	862
group_5234	gene	863
group_5238	gene	864
tenA_1	gene	865
brnQ	gene	866
bglF	gene	867
group_5257	gene	868
carA	gene	869
group_5261	gene	870
ecfA1	gene	871
ctsR	gene	872
pepO	gene	873
whiA	gene	874
group_5302	gene	875
rpmGA	gene	876
rpmF	gene	877
group_5305	gene	878
group_5307	gene	879
yabA	gene	880
group_5325	gene	881
lpd	gene	882
pdhC	gene	883
group_5349	gene	884
group_5375	gene	885
group_5387	gene	886
group_5390	gene	887
dsbD_2	gene	888
aspS	gene	889
yutF	gene	890
rpsU	gene	891
atpG	gene	892
atpB	gene	893
atpE	gene	894
pfkA	gene	895
group_5838	gene	896
salL	gene	897
trmL	gene	898
ribU	gene	899
pgk	gene	900
glnR	gene	901
hrcA	gene	902
dnaK	gene	903
group_5850	gene	904
trmB	gene	905
nusA	gene	906
group_5853	gene	907
group_5860	gene	908
group_5865	gene	909
ansB	gene	910
ccpA_2	gene	911
fsaA	gene	912
gmuB	gene	913
hpdA	gene	914
ribH	gene	915
group_5878	gene	916
rnj1	gene	917
ktrA	gene	918
yhbU	gene	919
upp	gene	920
msrAB_1	gene	921
pyrB	gene	922
ldh	gene	923
pth	gene	924
group_5899	gene	925
rodZ	gene	926
cysA	gene	927
ywnA	gene	928
yvcJ	gene	929
greA	gene	930
malR	gene	931
group_5922	gene	932
group_5923	gene	933
nspC	gene	934
addA	gene	935
rbgA	gene	936
acoA	gene	937
group_5928	gene	938
pyrC	gene	939
mutX_3	gene	940
ung	gene	941
gatB	gene	942
group_5935	gene	943
group_5936	gene	944
nadC	gene	945
group_5948	gene	946
prfA	gene	947
mscL	gene	948
group_5951	gene	949
dnaX_1	gene	950
group_5954	gene	951
group_5955	gene	952
group_5956	gene	953
parC	gene	954
parE	gene	955
hup	gene	956
yjbK	gene	957
pepN	gene	958
group_6190	gene	959
queT	gene	960
grpE	gene	961
pgi	gene	962
group_7567	gene	963
lytB_2	gene	964
group_8081	gene	965
tkt_1	gene	966
hslR	gene	967
group_8338	gene	968
group_8491	gene	969
tsf	gene	970
lacF_3	gene	971
mrnC	gene	972
licA_1	gene	973
purE	gene	974
group_2093	gene	975
yheS	gene	976
mraY	gene	977
group_2570	gene	978
group_2626	gene	979
valS	gene	980
hcnC	gene	981
group_3205	gene	982
ecsA_2	gene	983
bsaA	gene	984
group_3323	gene	985
group_3334	gene	986
alaS	gene	987
group_3532	gene	988
glmS	gene	989
group_3602	gene	990
liaS	gene	991
group_3828	gene	992
group_3880	gene	993
deoD_1	gene	994
group_3929	gene	995
cdaR	gene	996
uppP	gene	997
ypdF	gene	998
panT	gene	999
group_4368	gene	1000
pstA2_2	gene	1001
yfmC	gene	1002
group_4612	gene	1003
trkA	gene	1004
adhR	gene	1005
lrp	gene	1006
ffh	gene	1007
ftsH	gene	1008
glpQ	gene	1009
xerS	gene	1010
mnmE	gene	1011
pbpF_2	gene	1012
pglF	gene	1013
nagB	gene	1014
group_5160	gene	1015
czcD	gene	1016
kdgR	gene	1017
sorB_1	gene	1018
manX_2	gene	1019
rpsI	gene	1020
mapP	gene	1021
braC	gene	1022
group_5301	gene	1023
xylH	gene	1024
pepT	gene	1025
yjbM	gene	1026
rnhB	gene	1027
pglJ	gene	1028
pbpX_2	gene	1029
atpD	gene	1030
group_5847	gene	1031
group_5848	gene	1032
oppF	gene	1033
gno	gene	1034
group_5872	gene	1035
group_5881	gene	1036
spo0C	gene	1037
graR	gene	1038
ilvD	gene	1039
group_5920	gene	1040
group_5933	gene	1041
znuA_2	gene	1042
yusV	gene	1043
yfhA	gene	1044
fepD_2	gene	1045
bfmBAB	gene	1046
group_1179	gene	1047
group_1408	gene	1048
group_1929	gene	1049
cmpD	gene	1050
mfd	gene	1051
agrA_1	gene	1052
treB	gene	1053
yycB	gene	1054
thiM_1	gene	1055
trxB	gene	1056
argS	gene	1057
lacB	gene	1058
kdgK	gene	1059
comFA	gene	1060
group_4032	gene	1061
pcrA	gene	1062
yfmL	gene	1063
ribX	gene	1064
group_4367	gene	1065
group_4547	gene	1066
trpA	gene	1067
group_4693	gene	1068
pox5	gene	1069
dapA	gene	1070
group_4855	gene	1071
group_5162	gene	1072
group_5195	gene	1073
group_5209	gene	1074
yafQ	gene	1075
galK_2	gene	1076
celA_2	gene	1077
glgA	gene	1078
atpC	gene	1079
group_5855	gene	1080
group_5868	gene	1081
group_5869	gene	1082
fhs1	gene	1083
patB	gene	1084
gmuR	gene	1085
purD	gene	1086
mvaS	gene	1087
thiM_2	gene	1088
ykoD_2	gene	1089
udk_1	gene	1090
group_2554	gene	1091
group_2815	gene	1092
group_2972	gene	1093
bepA	gene	1094
groS	gene	1095
metN	gene	1096
group_3829	gene	1097
dgkA	gene	1098
norM	gene	1099
pyk	gene	1100
group_4233	gene	1101
group_4388	gene	1102
nusG	gene	1103
pstS1	gene	1104
yclM	gene	1105
nanE	gene	1106
group_5201	gene	1107
plsY	gene	1108
group_5392	gene	1109
murC	gene	1110
gmuA	gene	1111
rpsA_2	gene	1112
group_939	gene	1113
pcp_2	gene	1114
group_1252	gene	1115
group_1280	gene	1116
group_1818	gene	1117
opuCB	gene	1118
group_2231	gene	1119
lon	gene	1120
ypdA	gene	1121
trkG	gene	1122
cmtB	gene	1123
sulD	gene	1124
ctpC	gene	1125
gatC_2	gene	1126
group_3537	gene	1127
ugl	gene	1128
kdgA	gene	1129
group_3592	gene	1130
comEA	gene	1131
yvoA	gene	1132
malK_2	gene	1133
group_404	gene	1134
group_4240	gene	1135
yhaM	gene	1136
pepC	gene	1137
ybiV	gene	1138
feuB	gene	1139
group_4695	gene	1140
group_4709	gene	1141
group_5287	gene	1142
rlmA	gene	1143
fni	gene	1144
cysK	gene	1145
group_5856	gene	1146
ftsL	gene	1147
group_5873	gene	1148
ilvE	gene	1149
group_1393	gene	1150
group_1682	gene	1151
rlmCD_1	gene	1152
lytA_5	gene	1153
ulaE	gene	1154
glnH_1	gene	1155
group_2917	gene	1156
group_3285	gene	1157
group_3305	gene	1158
agaC	gene	1159
ykoE	gene	1160
group_4042	gene	1161
yehU	gene	1162
group_4776	gene	1163
dasR	gene	1164
bglK_1	gene	1165
ulaA_2	gene	1166
srlR_1	gene	1167
group_3583	gene	1168
group_3594	gene	1169
iolX	gene	1170
tpx	gene	1171
group_856	gene	1172
group_1646	gene	1173
adh_1	gene	1174
group_3276	gene	1175
group_3638	gene	1176
group_3646	gene	1177
hmpT	gene	1178
group_4608	gene	1179
luxS	gene	1180
group_4851	gene	1181
macB_2	gene	1182
group_1609	gene	1183
ecsA_1	gene	1184
group_2438	gene	1185
group_2710	gene	1186
yitU	gene	1187
glnQ_1	gene	1188
argR_2	gene	1189
group_3843	gene	1190
lytN	gene	1191
graS	gene	1192
pucK	gene	1193
group_4755	gene	1194
yjhB	gene	1195
group_1276	gene	1196
group_2117	gene	1197
group_2881	gene	1198
metP	gene	1199
group_4035	gene	1200
lepA	gene	1201
group_5276	gene	1202
group_1263	gene	1203
glxK	gene	1204
group_2107	gene	1205
group_2911	gene	1206
group_3618	gene	1207
rsmG	gene	1208
group_4218	gene	1209
pyrP	gene	1210
dnaC	gene	1211
ulaD	gene	1212
apbE	gene	1213
group_5202	gene	1214
clcA	gene	1215
group_3005	gene	1216
group_3008	gene	1217
group_4371	gene	1218
rplI	gene	1219
fpgS_2	gene	1220
coiA	gene	1221
modC	gene	1222
ytpP_2	gene	1223
serB	gene	1224
metZ	gene	1225
hepC	gene	1226
mvaS_2	gene	1227
group_2739	gene	1228
rsuA_1	gene	1229
potA	gene	1230
group_3927	gene	1231
group_5299	gene	1232
group_5352	gene	1233
group_3207	gene	1234
coaBC_1	gene	1235
group_4723	gene	1236
strH_2	gene	1237
group_2246	gene	1238
group_2379	gene	1239
licT_2	gene	1240
licT_1	gene	1241
group_4214	gene	1242
group_4290	gene	1243
group_4675	gene	1244
group_1857	gene	1245
glnM_1	gene	1246
speE	gene	1247
licC_4	gene	1248
lagD_3	gene	1249
group_1570	gene	1250
walK_2	gene	1251
glgB	gene	1252
group_1906	gene	1253
group_1967	gene	1254
recX	gene	1255
gtfA	gene	1256
group_5206	gene	1257
group_1237	gene	1258
group_4249	gene	1259
group_2747	gene	1260
pepS	gene	1261
group_3281	gene	1262
pgaC	gene	1263
group_1460	gene	1264
group_2537	gene	1265
msmE	gene	1266
adhA	gene	1267
artP_2	gene	1268
group_1106	gene	1269
flr	gene	1270
mngB	gene	1271
metE	gene	1272
xpt	gene	1273
comGA	gene	1274
sorC_2	gene	1275
group_3339	gene	1276
mutY	gene	1277
phoU_2	gene	1278
pbuO	gene	1279
niaR	gene	1280
group_1250	gene	1281
group_2096	gene	1282
sdrD	gene	1283
natA_4	gene	1284
group_3518	gene	1285
lytA_7	gene	1286
group_4515	gene	1287
group_5284	gene	1288
group_962	gene	1289
group_3265	gene	1290
bmrA_1	gene	1291
group_1652	gene	1292
group_1755	gene	1293
purK	gene	1294
group_2434	gene	1295
mutS	gene	1296
group_4081	gene	1297
group_5932	gene	1298
leuA	gene	1299
group_3406	gene	1300
tqsA_1	gene	1301
tcyA	gene	1302
ywlC	gene	1303
strH_1	gene	1304
group_2786	gene	1305
group_2909	gene	1306
group_3827	gene	1307
group_1706	gene	1308
glnQ_2	gene	1309
glgD	gene	1310
group_3963	gene	1311
group_4321	gene	1312
dprA	gene	1313
mcrB	gene	1314
ubiE	gene	1315
group_3654	gene	1316
lytA_4	gene	1317
araQ_3	gene	1318
cdd_1	gene	1319
potD_2	gene	1320
group_4595	gene	1321
group_4791	gene	1322
ald_2	gene	1323
desK	gene	1324
nagAa	gene	1325
pheT_2	gene	1326
birA	gene	1327
tadA	gene	1328
group_8316	gene	1329
group_2730	gene	1330
group_2763	gene	1331
peb1A	gene	1332
group_3894	gene	1333
group_4850	gene	1334
potD_1	gene	1335
acpP	gene	1336
phnU_1	gene	1337
group_388	gene	1338
acpB	gene	1339
group_1266	gene	1340
citS	gene	1341
hmo	gene	1342
dxs	gene	1343
group_4452	gene	1344
cvfB	gene	1345
group_5861	gene	1346
group_818	gene	1347
aqpZ2	gene	1348
guaB_1	gene	1349
group_8366	gene	1350
glpF	gene	1351
ply_2	gene	1352
group_38	gene	1353
yheI	gene	1354
xerD	gene	1355
group_5208	gene	1356
group_576	gene	1357
ydaF_1	gene	1358
argR_3	gene	1359
modB	gene	1360
tag	gene	1361
gap	gene	1362
gspF	gene	1363
adaA	gene	1364
group_3597	gene	1365
gldA	gene	1366
group_2623	gene	1367
pdp	gene	1368
pepF1_2	gene	1369
ybaK	gene	1370
group_1178	gene	1371
group_1614	gene	1372
group_1692	gene	1373
hsdM	gene	1374
group_3288	gene	1375
ugpA	gene	1376
ohrR	gene	1377
irtA	gene	1378
arcA	gene	1379
bcrC	gene	1380
group_2999	gene	1381
group_4033	gene	1382
ywtF	gene	1383
group_2049	gene	1384
group_2758	gene	1385
ydcP	gene	1386
group_1492	gene	1387
desR	gene	1388
yumC	gene	1389
lmrA	gene	1390
group_2428	gene	1391
gdh	gene	1392
group_3513	gene	1393
trpC	gene	1394
group_31	gene	1395
ykoD_3	gene	1396
group_4679	gene	1397
group_915	gene	1398
group_2916	gene	1399
group_4017	gene	1400
group_4886	gene	1401
